DATETIME,X_DATA,Y_DATA,Z_DATA,GYRO_X_DATA,GYRO_Y_DATA,GYRO_Z_DATA,TEMPERATURE,MICROPHONE,LATITUDE,LONGITUDE,ALTITUDE,COURSE,SPEED,SATELLITES
12-10-2023__19-45-16-970114,0.4416460394859314,-0.29447513818740845,9.908729553222656,-0.023120976984500885,0.0189188364893198,0.011754976585507393,23.52705955505371,4,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-17-599986,0.42249244451522827,-0.29686933755874634,9.879999160766602,-0.02072281390428543,0.016254210844635963,0.010955588892102242,23.530000686645508,4,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-17-925009,0.3961562514305115,-0.32320553064346313,9.913518905639648,-0.02232159674167633,0.018652373924851418,0.011754976585507393,23.52705955505371,1,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-18-234125,0.44643449783325195,-0.10054479539394379,9.74592399597168,0.0005941838026046753,-0.019185297191143036,0.012554364278912544,23.530000686645508,6,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-18-836544,0.4129156470298767,-0.2848983407020569,9.702827453613281,-0.01592649519443512,0.008526799269020557,0.011222051456570625,23.530000686645508,1,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-19-455775,0.4177040457725525,-0.32081133127212524,9.891969680786133,-0.016192957758903503,0.01012557465583086,0.011754976585507393,23.562353134155273,4,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-20-028687,0.4200982451438904,-0.22504328191280365,9.86563491821289,-0.011663094162940979,0.0023981621488928795,0.012554364278912544,23.55647087097168,2,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-20-317279,0.42967504262924194,-0.148428812623024,9.726770401000977,-0.006600305438041687,-0.006128636654466391,0.012021439149975777,23.544706344604492,3,58.162575333,8.0074885,44.4,0.0,3.85216,4
12-10-2023__19-45-20-973140,0.4129156470298767,-0.2561678886413574,9.645366668701172,-0.014327719807624817,0.004796324297785759,0.012021439149975777,23.550588607788086,1,58.162613,8.007496667,44.4,0.0,0.926,4
12-10-2023__19-45-21-614062,0.4200982451438904,-0.22983168065547943,9.669309616088867,-0.004468604922294617,-0.013323123566806316,0.011754976585507393,23.56529426574707,2,58.162613,8.007496667,44.4,0.0,0.926,4
12-10-2023__19-45-22-021492,0.40333884954452515,-0.24659110605716705,9.911123275756836,-0.014327719807624817,0.006661561783403158,0.013087289407849312,23.55647087097168,3,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-22-844805,0.4416460394859314,-0.13645781576633453,9.817750930786133,0.0003277137875556946,-0.01945176161825657,0.010955588892102242,23.571176528930664,3,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-23-160136,0.4631938934326172,-0.20349545776844025,9.712404251098633,6.125867366790771e-05,-0.017586523666977882,0.011754976585507393,23.56529426574707,2,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-23-734296,0.45122289657592773,-0.10293899476528168,9.74592399597168,0.0027258843183517456,-0.021849922835826874,0.01148851215839386,23.588823318481445,1,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-24-355885,0.3722141981124878,-0.24180267751216888,9.791414260864258,-0.011663094162940979,-0.0010658499086275697,0.011222051456570625,23.579999923706055,2,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-24-948639,0.43206924200057983,-0.3303881287574768,9.954219818115234,-0.02072281390428543,0.014921898953616619,0.01148851215839386,23.609411239624023,3,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-25-609400,0.3410896062850952,-0.31841713190078735,9.844085693359375,-0.017525270581245422,0.009859112091362476,0.012021439149975777,23.61235237121582,4,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-26-202575,0.345878005027771,-0.325599730014801,9.877605438232422,-0.016725875437259674,0.009326186962425709,0.012287899851799011,23.615293502807617,2,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-26-814319,0.38179099559783936,-0.2753215432167053,9.875211715698242,-0.016725875437259674,0.009859112091362476,0.012021439149975777,23.62117576599121,3,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-27-430741,0.38179099559783936,-0.2801099419593811,9.918306350708008,-0.019656971096992493,0.015721285715699196,0.012021439149975777,23.609411239624023,2,58.162613,8.007496667,42.4,0.0,0.926,5
12-10-2023__19-45-27-715155,0.4607996940612793,-0.19631285965442657,9.559175491333008,-0.005800917744636536,-0.009592648595571518,0.010422663763165474,23.6329402923584,2,58.162470167,8.0075,42.4,0.0,0.2778,5
12-10-2023__19-45-28-349930,0.4536170959472656,-0.11730419099330902,9.774654388427734,-0.008465543389320374,-0.004263399634510279,0.010955588892102242,23.647647857666016,1,58.162470167,8.0075,42.4,0.0,0.2778,5
12-10-2023__19-45-28-987239,0.3889736533164978,-0.24898530542850494,9.844085693359375,-0.012728951871395111,0.002931087277829647,0.011222051456570625,23.6299991607666,4,58.162439333,8.00754,42.4,0.0,0.25928,5
12-10-2023__19-45-29-669682,0.39855045080184937,-0.3351765275001526,9.908729553222656,-0.02365390956401825,0.01945176161825657,0.011754976585507393,23.635881423950195,4,58.162439333,8.00754,42.4,0.0,0.25928,5
12-10-2023__19-45-29-904523,0.38179099559783936,-0.2872925400733948,9.841691970825195,-0.010863706469535828,0.0,0.012021439149975777,23.6329402923584,2,58.162439333,8.00754,42.4,0.0,0.25928,5
12-10-2023__19-45-30-264256,0.4081272482872009,-0.265744686126709,9.753107070922852,-0.016459420323371887,0.009592648595571518,0.012287899851799011,23.6329402923584,3,58.162403,8.007597,42.4,5.0,0.037040000000000003,5
12-10-2023__19-45-30-800200,0.44643449783325195,-0.22264908254146576,9.774654388427734,-0.024453289806842804,0.023448698222637177,0.011222051456570625,23.641765594482422,1,58.162403,8.007597,42.4,5.0,0.037040000000000003,5
12-10-2023__19-45-31-444490,0.40573304891586304,-0.32081133127212524,9.832115173339844,-0.014061249792575836,0.002931087277829647,0.012554364278912544,23.64470672607422,1,58.162403,8.007597,53.2,5.0,0.037040000000000003,8
12-10-2023__19-45-32-050939,0.39855045080184937,-0.24659110605716705,9.80099105834961,-0.005267992615699768,-0.010924961417913437,0.012287899851799011,23.65353012084961,2,58.162403,8.007597,53.2,5.0,0.037040000000000003,8
12-10-2023__19-45-32-951116,0.384185254573822,-0.31841713190078735,9.858451843261719,-0.02338743954896927,0.019718224182724953,0.012021439149975777,23.647647857666016,3,58.162403,8.007597,53.2,5.0,0.037040000000000003,8
12-10-2023__19-45-33-277710,0.4177040457725525,-0.2848983407020569,9.856058120727539,-0.01246248185634613,0.0026646247133612633,0.01148851215839386,23.647647857666016,2,58.162398833,8.007607833,53.2,5.0,0.14816000000000001,8
12-10-2023__19-45-33-601374,0.3506664037704468,-0.265744686126709,9.810567855834961,-0.007133230566978455,-0.00559571199119091,0.013087289407849312,23.656471252441406,2,58.162398833,8.007607833,53.2,5.0,0.14816000000000001,8
12-10-2023__19-45-33-981719,0.367425799369812,-0.3351765275001526,9.975767135620117,-0.01992342621088028,0.016254210844635963,0.012287899851799011,23.6299991607666,6,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-34-485126,0.3889736533164978,-0.282504141330719,9.80099105834961,-0.023120976984500885,0.019718224182724953,0.011754976585507393,23.647647857666016,1,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-34-789897,0.3961562514305115,-0.2848983407020569,9.736347198486328,-0.01379479467868805,0.005862174555659294,0.011222051456570625,23.65353012084961,1,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-35-454225,0.4177040457725525,-0.265744686126709,9.822538375854492,-0.01992342621088028,0.0189188364893198,0.011222051456570625,23.656471252441406,5,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-35-736344,0.3961562514305115,-0.20349545776844025,9.547204971313477,-0.0047350674867630005,-0.011457886546850204,0.011754976585507393,23.662353515625,3,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-36-360918,0.47037649154663086,-0.2777157425880432,9.80099105834961,-0.01592649519443512,0.009859112091362476,0.010955588892102242,23.647647857666016,2,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-36-965132,0.40094465017318726,-0.24419690668582916,9.702827453613281,-0.0036692246794700623,-0.01119142398238182,0.011222051456570625,23.665294647216797,2,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-37-867660,0.37939679622650146,-0.21067805588245392,9.736347198486328,-0.0018039792776107788,-0.016520673409104347,0.01148851215839386,23.659412384033203,5,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-38-495844,0.3722141981124878,-0.24180267751216888,9.741134643554688,-0.0023369118571281433,-0.013589587062597275,0.012021439149975777,23.674118041992188,1,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-38-814830,0.4177040457725525,-0.2130722552537918,9.836904525756836,-0.006333842873573303,-0.0074609494768083096,0.012287899851799011,23.674118041992188,1,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-39-111840,0.36024320125579834,-0.29208093881607056,9.899152755737305,-0.009531393647193909,-0.0026646247133612633,0.012820824980735779,23.674118041992188,1,58.162398833,8.007607833,52.2,5.0,0.14816000000000001,8
12-10-2023__19-45-39-767618,0.4153098464012146,-0.29208093881607056,9.947036743164062,-0.016192957758903503,0.009059724397957325,0.012287899851799011,23.68000030517578,3,58.162391167,8.007627,52.2,21.0,0.037040000000000003,8
12-10-2023__19-45-40-051514,0.46798229217529297,-0.1891302615404129,9.791414260864258,-0.008732005953788757,-0.003197549842298031,0.012554364278912544,23.682941436767578,4,58.162391167,8.007627,52.2,21.0,0.037040000000000003,8
12-10-2023__19-45-40-357257,0.4129156470298767,-0.19631285965442657,9.841691970825195,-0.0023369118571281433,-0.014655436389148235,0.012554364278912544,23.662353515625,2,58.162391167,8.007627,52.2,21.0,0.037040000000000003,8
12-10-2023__19-45-40-639363,0.45122289657592773,-0.12688101828098297,9.652549743652344,0.004591122269630432,-0.024781011044979095,0.012287899851799011,23.665294647216797,2,58.162391167,8.007627,52.2,21.0,0.037040000000000003,8
12-10-2023__19-45-40-980115,0.40573304891586304,-0.21067805588245392,9.784231185913086,0.0008606389164924622,-0.018385911360383034,0.012021439149975777,23.682941436767578,2,58.162391167,8.007627,52.2,21.0,0.037040000000000003,8
12-10-2023__19-45-41-575459,0.4871358871459961,-0.2609562873840332,9.81296157836914,-0.027384385466575623,0.02851148694753647,0.011754976585507393,23.682941436767578,1,58.162388167,8.007631833,48.2,21.0,0.037040000000000003,12
12-10-2023__19-45-41-924373,0.3386954069137573,-0.29926353693008423,9.822538375854492,-0.01725880801677704,0.009859112091362476,0.012287899851799011,23.682941436767578,2,58.162388167,8.007631833,48.2,21.0,0.037040000000000003,12
